id,created_at,updated_at,name,short_name,stock_ticker,description,cik,gics_sector,gics_sub_industry,headquarters_location,founded_year
357,2021-06-18 12:12:46,2021-06-18 12:12:46,Paccar,Paccar,PCAR,,0000075362,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1905
358,2021-06-18 12:12:46,2021-06-18 12:12:46,Packaging Corporation of America,Packaging Corporation of America,PKG,,0000075677,Materials,Paper Packaging,"Lake Forest, Illinois",1959
359,2021-06-18 12:12:46,2021-06-18 12:12:46,Parker-Hannifin,Parker-Hannifin,PH,,0000076334,Industrials,Industrial Machinery,"Cleveland, Ohio",1917
362,2021-06-18 12:12:46,2021-06-18 12:12:46,PayPal,PayPal,PYPL,,0001633917,Information Technology,Data Processing & Outsourced Services,"San Jose, California",1998
360,2021-06-18 12:12:46,2021-06-18 12:12:46,Paychex Inc.,Paychex Inc.,PAYX,,0000723531,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",1971
361,2021-06-18 12:12:46,2021-06-18 12:12:46,Paycom,Paycom,PAYC,,0001590955,Information Technology,Application Software,"Oklahoma City, Oklahoma",1998
363,2021-06-18 12:12:46,2021-06-18 12:12:46,Pentair plc,Pentair plc,PNR,,0000077360,Industrials,Industrial Machinery,"Worsley, UK",1966
364,2021-06-18 12:12:46,2021-06-18 12:12:46,People's United Financial,People's United Financial,PBCT,,0001378946,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",1842
365,2021-06-18 12:12:46,2021-06-18 12:12:46,PepsiCo Inc.,PepsiCo Inc.,PEP,,0000077476,Consumer Staples,Soft Drinks,"Purchase, New York",1898
366,2021-06-18 12:12:46,2021-06-18 12:12:46,PerkinElmer,PerkinElmer,PKI,,0000031791,Health Care,Health Care Equipment,"Waltham, Massachusetts",1937
367,2021-06-18 12:12:46,2021-06-18 12:12:46,Perrigo,Perrigo,PRGO,,0001585364,Health Care,Pharmaceuticals,"Dublin, Ireland",2013 (1887)
368,2021-06-18 12:12:46,2021-06-18 12:12:46,Pfizer Inc.,Pfizer,PFE,,0000078003,Health Care,Pharmaceuticals,"New York, New York",1849
369,2021-06-18 12:12:46,2021-06-18 12:12:46,Philip Morris International,Philip Morris International,PM,,0001413329,Consumer Staples,Tobacco,"New York, New York",2008 (1847)
370,2021-06-18 12:12:46,2021-06-18 12:12:46,Phillips 66,Phillips 66,PSX,,0001534701,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012 (1917)
371,2021-06-18 12:12:46,2021-06-18 12:12:46,Pinnacle West Capital,Pinnacle West Capital,PNW,,0000764622,Utilities,Multi-Utilities,"Phoenix, Arizona",1985
372,2021-06-18 12:12:46,2021-06-18 12:12:46,Pioneer Natural Resources,Pioneer Natural Resources,PXD,,0001038357,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1997
374,2021-06-18 12:12:46,2021-06-18 12:12:46,Pool Corporation,Pool Corporation,POOL,,0000945841,Consumer Discretionary,Distributors,"Covington, Louisiana",1993
377,2021-06-18 12:12:46,2021-06-18 12:12:46,Principal Financial Group,Principal Financial Group,PFG,,0001126328,Financials,Life & Health Insurance,"Des Moines, Iowa",1879
378,2021-06-18 12:12:46,2021-06-18 12:12:46,Procter & Gamble,Procter & Gamble,PG,,0000080424,Consumer Staples,Personal Products,"Cincinnati, Ohio",1837
379,2021-06-18 12:12:46,2021-06-18 12:12:46,Progressive Corp.,Progressive Corp.,PGR,,0000080661,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1937
380,2021-06-18 12:12:46,2021-06-18 12:12:46,Prologis,Prologis,PLD,,0001045609,Real Estate,Industrial REITs,"San Francisco, California",1983
381,2021-06-18 12:12:46,2021-06-18 12:12:46,Prudential Financial,Prudential Financial,PRU,,0001137774,Financials,Life & Health Insurance,"Newark, New Jersey",1875
382,2021-06-18 12:12:46,2021-06-18 12:12:46,Public Service Enterprise Group (PSEG),Public Service Enterprise Group (PSEG),PEG,,0000788784,Utilities,Electric Utilities,"Newark, New Jersey",1903
383,2021-06-18 12:12:46,2021-06-18 12:12:46,Public Storage,Public Storage,PSA,,0001393311,Real Estate,Specialized REITs,"Glendale, California",1972
384,2021-06-18 12:12:46,2021-06-18 12:12:46,PulteGroup,PulteGroup,PHM,,0000822416,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1956
386,2021-06-18 12:12:46,2021-06-18 12:12:46,Qorvo,Qorvo,QRVO,,0001604778,Information Technology,Semiconductors,"Greensboro, North Carolina",2015
388,2021-06-18 12:12:46,2021-06-18 12:12:46,Qualcomm,Qualcomm,QCOM,,0000804328,Information Technology,Semiconductors,"San Diego, California",1985
387,2021-06-18 12:12:46,2021-06-18 12:12:46,Quanta Services Inc.,Quanta Services Inc.,PWR,,0001050915,Industrials,Construction & Engineering,"Houston, Texas",1997
389,2021-06-18 12:12:46,2021-06-18 12:12:46,Quest Diagnostics,Quest Diagnostics,DGX,,0001022079,Health Care,Health Care Services,"Secaucus, New Jersey",1967
390,2021-06-18 12:12:46,2021-06-18 12:12:46,Ralph Lauren Corporation,Ralph Lauren Corporation,RL,,0001037038,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1967
391,2021-06-18 12:12:46,2021-06-18 12:12:46,Raymond James Financial,Raymond James Financial,RJF,,0000720005,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",1962
392,2021-06-18 12:12:46,2021-06-18 12:12:46,Raytheon Technologies,Raytheon,RTX,,0000101829,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922
393,2021-06-18 12:12:46,2021-06-18 12:12:46,Realty Income Corporation,Realty Income Corporation,O,,0000726728,Real Estate,Retail REITs,"San Diego, California",1969
394,2021-06-18 12:12:46,2021-06-18 12:12:46,Regency Centers Corporation,Regency Centers Corporation,REG,,0000910606,Real Estate,Retail REITs,"Jacksonville, Florida",1963
395,2021-06-18 12:12:46,2021-06-18 12:12:46,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,REGN,,0000872589,Health Care,Biotechnology,"Tarrytown, New York",1988
396,2021-06-18 12:12:46,2021-06-18 12:12:46,Regions Financial Corp.,Regions Financial Corp.,RF,,0001281761,Financials,Regional Banks,"Birmingham, Alabama",1971
397,2021-06-18 12:12:46,2021-06-18 12:12:46,Republic Services Inc,Republic Services Inc,RSG,,0001060391,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1998 (1981)
398,2021-06-18 12:12:46,2021-06-18 12:12:46,ResMed,ResMed,RMD,,0000943819,Health Care,Health Care Equipment,"San Diego, California",1989
399,2021-06-18 12:12:46,2021-06-18 12:12:46,Robert Half International,Robert Half International,RHI,,0000315213,Industrials,Human Resource & Employment Services,"Menlo Park, California",1948
400,2021-06-18 12:12:46,2021-06-18 12:12:46,Rockwell Automation Inc.,Rockwell Automation Inc.,ROK,,0001024478,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1903
401,2021-06-18 12:12:46,2021-06-18 12:12:46,"Rollins, Inc.","Rollins, Inc.",ROL,,0000084839,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1948
402,2021-06-18 12:12:46,2021-06-18 12:12:46,Roper Technologies,Roper Technologies,ROP,,0000882835,Industrials,Industrial Conglomerates,"Sarasota, Florida",1981
403,2021-06-18 12:12:46,2021-06-18 12:12:46,Ross Stores,Ross Stores,ROST,,0000745732,Consumer Discretionary,Apparel Retail,"Dublin, California",1982
404,2021-06-18 12:12:46,2021-06-18 12:12:46,Royal Caribbean Group,Royal Caribbean Group,RCL,,0000884887,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1997
405,2021-06-18 12:12:46,2021-06-18 12:12:46,S&P Global Inc.,S&P Global Inc.,SPGI,,0000064040,Financials,Financial Exchanges & Data,"New York, New York",1917
407,2021-06-18 12:12:46,2021-06-18 12:12:46,SBA Communications,SBA Communications,SBAC,,0001034054,Real Estate,Specialized REITs,"Boca Raton, Florida",1989
416,2021-06-18 12:12:46,2021-06-18 12:12:46,SL Green Realty,SL Green Realty,SLG,,0001040971,Real Estate,Office REITs,"New York, New York",1997
425,2021-06-18 12:12:46,2021-06-18 12:12:46,SVB Financial,SVB Financial,SIVB,,0000719739,Financials,Regional Banks,"Santa Clara, California",1983
406,2021-06-18 12:12:46,2021-06-18 12:12:46,Salesforce.com,Salesforce,CRM,,0001108524,Information Technology,Application Software,"San Francisco, California",1999
408,2021-06-18 12:12:46,2021-06-18 12:12:46,Schlumberger Ltd.,Schlumberger Ltd.,SLB,,0000087347,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1926
409,2021-06-18 12:12:46,2021-06-18 12:12:46,Seagate Technology,Seagate Technology,STX,,0001137789,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1979
410,2021-06-18 12:12:46,2021-06-18 12:12:46,Sealed Air,Sealed Air,SEE,,0001012100,Materials,Paper Packaging,"Charlotte, North Carolina",1960
411,2021-06-18 12:12:46,2021-06-18 12:12:46,Sempra Energy,Sempra Energy,SRE,,0001032208,Utilities,Multi-Utilities,"San Diego, California",1998
412,2021-06-18 12:12:46,2021-06-18 12:12:46,ServiceNow,ServiceNow,NOW,,0001373715,Information Technology,Systems Software,"Santa Clara, California",2003
413,2021-06-18 12:12:46,2021-06-18 12:12:46,Sherwin-Williams,Sherwin-Williams,SHW,,0000089800,Materials,Specialty Chemicals,"Cleveland, Ohio",1866
414,2021-06-18 12:12:46,2021-06-18 12:12:46,Simon Property Group Inc,Simon Property Group Inc,SPG,,0001063761,Real Estate,Retail REITs,"Indianapolis, Indiana",2003
415,2021-06-18 12:12:46,2021-06-18 12:12:46,Skyworks Solutions,Skyworks Solutions,SWKS,,0000004127,Information Technology,Semiconductors,"Woburn, Massachusetts",2002
417,2021-06-18 12:12:46,2021-06-18 12:12:46,Snap-on,Snap-on,SNA,,0000091440,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1920
418,2021-06-18 12:12:46,2021-06-18 12:12:46,Southern Company,Southern Company,SO,,0000092122,Utilities,Electric Utilities,"Atlanta, Georgia",1945
419,2021-06-18 12:12:46,2021-06-18 12:12:46,Southwest Airlines,Southwest Airlines,LUV,,0000092380,Industrials,Airlines,"Dallas, Texas",1967
420,2021-06-18 12:12:46,2021-06-18 12:12:46,Stanley Black & Decker,Stanley Black & Decker,SWK,,0000093556,Industrials,Industrial Machinery,"New Britain, Connecticut",1843
421,2021-06-18 12:12:46,2021-06-18 12:12:46,Starbucks Corp.,Starbucks,SBUX,,0000829224,Consumer Discretionary,Restaurants,"Seattle, Washington",1971
422,2021-06-18 12:12:46,2021-06-18 12:12:46,State Street Corp.,State Street Corp.,STT,,0000093751,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",1792
423,2021-06-18 12:12:46,2021-06-18 12:12:46,Steris,Steris,STE,,0001757898,Health Care,Health Care Equipment,"Dublin, Ireland",1985
424,2021-06-18 12:12:46,2021-06-18 12:12:46,Stryker Corp.,Stryker Corp.,SYK,,0000310764,Health Care,Health Care Equipment,"Kalamazoo, Michigan",1941
426,2021-06-18 12:12:46,2021-06-18 12:12:46,Synchrony Financial,Synchrony Financial,SYF,,0001601712,Financials,Consumer Finance,"Stamford, Connecticut",2003
427,2021-06-18 12:12:46,2021-06-18 12:12:46,Synopsys Inc.,Synopsys Inc.,SNPS,,0000883241,Information Technology,Application Software,"Mountain View, California",1986
428,2021-06-18 12:12:46,2021-06-18 12:12:46,Sysco Corp.,Sysco Corp.,SYY,,0000096021,Consumer Staples,Food Distributors,"Houston, Texas",1969
429,2021-06-18 12:12:46,2021-06-18 12:12:46,T-Mobile US,T-Mobile,TMUS,,0001283699,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1994
430,2021-06-18 12:12:46,2021-06-18 12:12:46,T. Rowe Price Group,T. Rowe Price Group,TROW,,0001113169,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1937
434,2021-06-18 12:12:46,2021-06-18 12:12:46,TE Connectivity Ltd.,TE Connectivity Ltd.,TEL,,0001385157,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2007
442,2021-06-18 12:12:46,2021-06-18 12:12:46,TJX Companies Inc.,TJX Companies Inc.,TJX,,0000109198,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1987
431,2021-06-18 12:12:46,2021-06-18 12:12:46,Take-Two Interactive,Take-Two Interactive,TTWO,,0000946581,Communication Services,Interactive Home Entertainment,"New York, New York",1993
432,2021-06-18 12:12:46,2021-06-18 12:12:46,"Tapestry, Inc.","Tapestry, Inc.",TPR,,0001116132,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2017
433,2021-06-18 12:12:46,2021-06-18 12:12:46,Target Corp.,Target Corp.,TGT,,0000027419,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1902
435,2021-06-18 12:12:46,2021-06-18 12:12:46,Teledyne Technologies,Teledyne Technologies,TDY,,0001094285,Industrials,Aerospace & Defense,"Thousand Oaks, California",1960
436,2021-06-18 12:12:46,2021-06-18 12:12:46,Teleflex,Teleflex,TFX,,0000096943,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1943
437,2021-06-18 12:12:46,2021-06-18 12:12:46,Teradyne,Teradyne,TER,,0000097210,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",1960
438,2021-06-18 12:12:46,2021-06-18 12:12:46,"Tesla, Inc.","Tesla, Inc.",TSLA,,0001318605,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2003
439,2021-06-18 12:12:46,2021-06-18 12:12:46,Texas Instruments,Texas Instruments,TXN,,0000097476,Information Technology,Semiconductors,"Dallas, Texas",1930
440,2021-06-18 12:12:46,2021-06-18 12:12:46,Textron Inc.,Textron Inc.,TXT,,0000217346,Industrials,Aerospace & Defense,"Providence, Rhode Island",1923
63,2021-06-18 12:12:46,2021-06-18 12:12:46,The Bank of New York Mellon,The Bank of New York Mellon,BK,,0001390777,Financials,Asset Management & Custody Banks,"New York, New York",1784
112,2021-06-18 12:12:46,2021-06-18 12:12:46,The Clorox Company,The Clorox Company,CLX,,0000021076,Consumer Staples,Household Products,"Oakland, California",1913
124,2021-06-18 12:12:46,2021-06-18 12:12:46,The Cooper Companies,The Cooper Companies,COO,,0000711404,Health Care,Health Care Supplies,"San Ramon, California",1958
226,2021-06-18 12:12:46,2021-06-18 12:12:46,The Hershey Company,The Hershey Company,HSY,,0000047111,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894
326,2021-06-18 12:12:46,2021-06-18 12:12:46,The Mosaic Company,The Mosaic Company,MOS,,0001285785,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2004 (1865 / 1909)
446,2021-06-18 12:12:46,2021-06-18 12:12:46,The Travelers Companies,The Travelers Companies,TRV,,0000086312,Financials,Property & Casualty Insurance,"New York, New York",1853
482,2021-06-18 12:12:46,2021-06-18 12:12:46,The Walt Disney Company,The Walt Disney Company,DIS,,0001744489,Communication Services,Movies & Entertainment,"Burbank, California",1923
441,2021-06-18 12:12:46,2021-06-18 12:12:46,Thermo Fisher Scientific,Thermo Fisher Scientific,TMO,,0000097745,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2006 (1902)
443,2021-06-18 12:12:46,2021-06-18 12:12:46,Tractor Supply Company,Tractor Supply Company,TSCO,,0000916365,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1938
444,2021-06-18 12:12:46,2021-06-18 12:12:46,Trane Technologies plc,Trane Technologies plc,TT,,0001466258,Industrials,Building Products,"Dublin, Ireland",1871
445,2021-06-18 12:12:46,2021-06-18 12:12:46,TransDigm Group,TransDigm Group,TDG,,0001260221,Industrials,Aerospace & Defense,"Cleveland, Ohio",1993
447,2021-06-18 12:12:46,2021-06-18 12:12:46,Trimble Inc.,Trimble Inc.,TRMB,,0000864749,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",1978
448,2021-06-18 12:12:46,2021-06-18 12:12:46,Truist Financial,Truist Financial,TFC,,0000092230,Financials,Regional Banks,"Charlotte, North Carolina",1872
449,2021-06-18 12:12:46,2021-06-18 12:12:46,"Twitter, Inc.","Twitter, Inc.",TWTR,,0001418091,Communication Services,Interactive Media & Services,"San Francisco, California",2006
450,2021-06-18 12:12:46,2021-06-18 12:12:46,Tyler Technologies,Tyler Technologies,TYL,,0000860731,Information Technology,Application Software,"Plano, Texas",1966
451,2021-06-18 12:12:46,2021-06-18 12:12:46,Tyson Foods,Tyson Foods,TSN,,0000100493,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",1935
454,2021-06-18 12:12:46,2021-06-18 12:12:46,U.S. Bancorp,U.S. Bancorp,USB,,0000036104,Financials,Diversified Banks,"Minneapolis, Minnesota",1968
452,2021-06-18 12:12:46,2021-06-18 12:12:46,"UDR, Inc.","UDR, Inc.",UDR,,0000074208,Real Estate,Residential REITs,"Highlands Ranch, Colorado",1972
453,2021-06-18 12:12:46,2021-06-18 12:12:46,Ulta Beauty,Ulta Beauty,ULTA,,0001403568,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",1990
455,2021-06-18 12:12:46,2021-06-18 12:12:46,Under Armour (Class A),Under Armour (Class A),UAA,,0001336917,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1996
456,2021-06-18 12:12:46,2021-06-18 12:12:46,Under Armour (Class C),Under Armour (Class C),UA,,0001336917,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1996
457,2021-06-18 12:12:46,2021-06-18 12:12:46,Union Pacific Corp,Union Pacific Corp,UNP,,0000100885,Industrials,Railroads,"Omaha, Nebraska",1862
458,2021-06-18 12:12:46,2021-06-18 12:12:46,United Airlines Holdings,United Airlines Holdings,UAL,,0000100517,Industrials,Airlines,"Chicago, Illinois",1967
460,2021-06-18 12:12:46,2021-06-18 12:12:46,United Parcel Service,United Parcel Service,UPS,,0001090727,Industrials,Air Freight & Logistics,"Atlanta, Georgia",1907
461,2021-06-18 12:12:46,2021-06-18 12:12:46,"United Rentals, Inc.","United Rentals, Inc.",URI,,0001067701,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1997
459,2021-06-18 12:12:46,2021-06-18 12:12:46,UnitedHealth Group Inc.,UnitedHealth Group Inc.,UNH,,0000731766,Health Care,Managed Health Care,"Minnetonka, Minnesota",1977
462,2021-06-18 12:12:46,2021-06-18 12:12:46,Universal Health Services,Universal Health Services,UHS,,0000352915,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",1979
463,2021-06-18 12:12:46,2021-06-18 12:12:46,Unum Group,Unum Group,UNM,,0000005513,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1999
471,2021-06-18 12:12:46,2021-06-18 12:12:46,VF Corporation,VF Corporation,VFC,,0000103379,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1899
464,2021-06-18 12:12:46,2021-06-18 12:12:46,Valero Energy,Valero Energy,VLO,,0001035002,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1980
465,2021-06-18 12:12:46,2021-06-18 12:12:46,Varian Medical Systems,Varian Medical Systems,VAR,,0000203527,Health Care,Health Care Equipment,"Palo Alto, California",1948
466,2021-06-18 12:12:46,2021-06-18 12:12:46,Ventas Inc,Ventas Inc,VTR,,0000740260,Real Estate,Health Care REITs,"Chicago, Illinois",1998
467,2021-06-18 12:12:46,2021-06-18 12:12:46,Verisign Inc.,Verisign Inc.,VRSN,,0001014473,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1995
468,2021-06-18 12:12:46,2021-06-18 12:12:46,Verisk Analytics,Verisk Analytics,VRSK,,0001442145,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1971
469,2021-06-18 12:12:46,2021-06-18 12:12:46,Verizon Communications,Verizon Communications,VZ,,0000732712,Communication Services,Integrated Telecommunication Services,"New York, New York",1983 (1877)
470,2021-06-18 12:12:46,2021-06-18 12:12:46,Vertex Pharmaceuticals Inc,Vertex Pharmaceuticals Inc,VRTX,,0000875320,Health Care,Biotechnology,"Cambridge, Massachusetts",1989
472,2021-06-18 12:12:46,2021-06-18 12:12:46,ViacomCBS,ViacomCBS,VIAC,,0000813828,Communication Services,Movies & Entertainment,"New York, New York",2019 (1952)
473,2021-06-18 12:12:46,2021-06-18 12:12:46,Viatris,Viatris,VTRS,,0001792044,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",1961
474,2021-06-18 12:12:46,2021-06-18 12:12:46,Visa Inc.,Visa Inc.,V,,0001403161,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",1958
475,2021-06-18 12:12:46,2021-06-18 12:12:46,Vontier,Vontier,VNT,,0001786842,Information Technology,Electronic Equipment & Instruments,"Raleigh, North Carolina",2019
476,2021-06-18 12:12:46,2021-06-18 12:12:46,Vornado Realty Trust,Vornado Realty Trust,VNO,,0000899689,Real Estate,Office REITs,"New York, New York",1982
477,2021-06-18 12:12:46,2021-06-18 12:12:46,Vulcan Materials,Vulcan Materials,VMC,,0001396009,Materials,Construction Materials,"Birmingham, Alabama",1909
478,2021-06-18 12:12:46,2021-06-18 12:12:46,W. R. Berkley Corporation,W. R. Berkley Corporation,WRB,,0000011544,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",1967
485,2021-06-18 12:12:46,2021-06-18 12:12:46,WEC Energy Group,WEC Energy Group,WEC,,0000783325,Utilities,Electric Utilities,"Milwaukee, Wisconsin",1896
481,2021-06-18 12:12:46,2021-06-18 12:12:46,Walgreens Boots Alliance,Walgreens Boots Alliance,WBA,,0001618921,Consumer Staples,Drug Retail,"Deerfield, Illinois",2014
480,2021-06-18 12:12:46,2021-06-18 12:12:46,Walmart,Walmart,WMT,,0000104169,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1962
483,2021-06-18 12:12:46,2021-06-18 12:12:46,Waste Management Inc.,Waste Management Inc.,WM,,0000823768,Industrials,Environmental & Facilities Services,"Houston, Texas",1968
484,2021-06-18 12:12:46,2021-06-18 12:12:46,Waters Corporation,Waters Corporation,WAT,,0001000697,Health Care,Health Care Distributors,"Milford, Massachusetts",1958
486,2021-06-18 12:12:46,2021-06-18 12:12:46,Wells Fargo,Wells Fargo,WFC,,0000072971,Financials,Diversified Banks,"San Francisco, California",1852
487,2021-06-18 12:12:46,2021-06-18 12:12:46,Welltower Inc.,Welltower Inc.,WELL,,0000766704,Real Estate,Health Care REITs,"Toledo, Ohio",1970
488,2021-06-18 12:12:46,2021-06-18 12:12:46,West Pharmaceutical Services,West Pharmaceutical Services,WST,,0000105770,Health Care,Health Care Supplies,"Exton, Pennsylvania",1923
491,2021-06-18 12:12:46,2021-06-18 12:12:46,WestRock,WestRock,WRK,,0001732845,Materials,Paper Packaging,"Atlanta, Georgia",2015
489,2021-06-18 12:12:46,2021-06-18 12:12:46,Western Digital,Western Digital,WDC,,0000106040,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1970
490,2021-06-18 12:12:46,2021-06-18 12:12:46,Western Union Co,Western Union Co,WU,,0001365135,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",1851
479,2021-06-18 12:12:46,2021-06-18 12:12:46,Westinghouse Air Brake Technologies Corp,Westinghouse Air Brake Technologies Corp,WAB,,0000943452,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",1999 (1869)
492,2021-06-18 12:12:46,2021-06-18 12:12:46,Weyerhaeuser,Weyerhaeuser,WY,,0000106535,Real Estate,Specialized REITs,"Federal Way, Washington",1900
493,2021-06-18 12:12:46,2021-06-18 12:12:46,Whirlpool Corp.,Whirlpool Corp.,WHR,,0000106640,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",1911
494,2021-06-18 12:12:46,2021-06-18 12:12:46,Williams Companies,Williams Companies,WMB,,0000107263,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1908
495,2021-06-18 12:12:46,2021-06-18 12:12:46,Willis Towers Watson,Willis Towers Watson,WLTW,,0001140536,Financials,Insurance Brokers,"London, United Kingdom",2016
496,2021-06-18 12:12:46,2021-06-18 12:12:46,Wynn Resorts Ltd,Wynn Resorts Ltd,WYNN,,0001174922,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2002
497,2021-06-18 12:12:46,2021-06-18 12:12:46,Xcel Energy Inc,Xcel Energy Inc,XEL,,0000072903,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1909
498,2021-06-18 12:12:46,2021-06-18 12:12:46,Xerox,Xerox,XRX,,0001770450,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",2017 (1906)
499,2021-06-18 12:12:46,2021-06-18 12:12:46,Xilinx,Xilinx,XLNX,,0000743988,Information Technology,Semiconductors,"San Jose, California",1984
500,2021-06-18 12:12:46,2021-06-18 12:12:46,Xylem Inc.,Xylem Inc.,XYL,,0001524472,Industrials,Industrial Machinery,"White Plains, New York",2011
501,2021-06-18 12:12:46,2021-06-18 12:12:46,Yum! Brands Inc,Yum! Brands Inc,YUM,,0001041061,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997
502,2021-06-18 12:12:46,2021-06-18 12:12:46,Zebra Technologies,Zebra Technologies,ZBRA,,0000877212,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",1969
503,2021-06-18 12:12:46,2021-06-18 12:12:46,Zimmer Biomet,Zimmer Biomet,ZBH,,0001136869,Health Care,Health Care Equipment,"Warsaw, Indiana",1927
504,2021-06-18 12:12:46,2021-06-18 12:12:46,Zions Bancorp,Zions Bancorp,ZION,,0000109380,Financials,Regional Banks,"Salt Lake City, Utah",1873
505,2021-06-18 12:12:46,2021-06-18 12:12:46,Zoetis,Zoetis,ZTS,,0001555280,Health Care,Pharmaceuticals,"Parsippany, New Jersey",1952
161,2021-06-18 12:12:46,2021-06-18 12:12:46,eBay Inc.,eBay Inc.,EBAY,,0001065088,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",1995
